url;name;town;stars;score;reviews;rent_type;capacity;bedrooms;beds;price;longitude;latitude;street;municipality;province;url_image
https://www.escapadarural.com/casa-rural/house1937;house1937;Les Borges del Camp;;;0;Alquiler íntegro;8 personas;3 dormitorios;4 camas;38€ pers./noche (aprox);41.182271547913;2.644937038422;C/ Sant Josep, nº 5;Les Borges del Camp;Tarragona;https://media.er2.co/es/house1937
https://www.escapadarural.com/casa-rural/house1938;house1938;Vilac;;;0;Alquiler íntegro;1 -   4 personas;7 dormitorios;3 camas;47€ pers./noche (aprox);42.721562560324;2.646011920471;c/ Sant Jordi, 25;Vilac;Lleida;https://media.er2.co/es/house1938
https://www.escapadarural.com/casa-rural/house1939;house1939;Sant Antoni de Vilamajor;;;0;Alquiler íntegro;2 -   26 personas;9 dormitorios;16 camas;27€ pers./noche (aprox);41.657660331547;2.646562932788;c/ Sant Jordi s/n;Sant Antoni de Vilamajor;Barcelona;https://media.er2.co/es/house1939
https://www.escapadarural.com/casa-rural/house1940;house1940;Masdenverge;stars-l-4-half;4.5;2;Íntegro o habitaciones;2 -   15 personas;6 dormitorios;12 camas;22€ pers./noche (aprox);40.715616300000;2.647275898208;c/ sant isidre nº 37;Masdenverge;Tarragona;https://media.er2.co/es/house1940
https://www.escapadarural.com/casa-rural/house1941;house1941;Fonollosa;stars-l-5;5.0;1;Alquiler íntegro;1 -   14 personas;7 dormitorios;9 camas;41€ pers./noche (aprox);41.775710183031;2.647608867188;C/ Sant Esteve, 42;Fonollosa;Barcelona;https://media.er2.co/es/house1941
https://www.escapadarural.com/casa-rural/house1942;house1942;Reus;;;0;Alquiler íntegro;10 -   18 personas;18 dormitorios;14 camas;20€ pers./noche (aprox);41.133874453609;2.651009559631;C/ Sant Cristobal, s/n;Reus;Tarragona;https://media.er2.co/es/house1942
https://www.escapadarural.com/casa-rural/house1943;house1943;Margalef;;;0;Por habitaciones;12 personas;5 dormitorios;9 camas;43€ pers./noche (aprox);41.284188200000;2.651469920349;C/ Sant Antoni, 5;Margalef;Tarragona;https://media.er2.co/es/house1943
https://www.escapadarural.com/casa-rural/house1944;house1944;Benifallet;;;0;Alquiler íntegro;4 personas;4 dormitorios;2 camas;29€ pers./noche (aprox);40.974490000000;2.652208209362;C/ Sant Antoni, 3;Benifallet;Tarragona;https://media.er2.co/es/house1944
https://www.escapadarural.com/casa-rural/house1945;house1945;Deltebre;stars-l-5;5.0;1;Alquiler íntegro;2 -   6 personas;3 dormitorios;6 camas;37€ pers./noche (aprox);40.721779100000;2.654390000000;C/ Sant Antoni, 25;Deltebre;Tarragona;https://media.er2.co/es/house1945
https://www.escapadarural.com/casa-rural/house1946;house1946;Alcover;;;0;Alquiler íntegro;8 -   10 personas;4 dormitorios;6 camas;30€ pers./noche (aprox);41.265512952067;2.655832184870;C/ Sant Andreu del Coll s/n  17800;Alcover;Tarragona;https://media.er2.co/es/house1946
https://www.escapadarural.com/casa-rural/house1947;house1947;Alfara de Carles;stars-l-3;3.0;1;Alquiler íntegro;2 -   7 personas;3 dormitorios;5 camas;28€ pers./noche (aprox);40.874481200000;2.660557926025;C/ San Sebastià, 3;Alfara de Carles;Tarragona;https://media.er2.co/es/house1947
https://www.escapadarural.com/casa-rural/house1948;house1948;Rasquera;stars-l-5;5.0;2;Alquiler íntegro;5 -   5 personas;3 dormitorios;3 camas;25€ pers./noche (aprox);41.001954900000;2.661680000000;C/ San Roc 2. 2ºA;Rasquera;Tarragona;https://media.er2.co/es/house1948
https://www.escapadarural.com/casa-rural/house1949;house1949;Sant Hilari Sacalm;stars-l-4-half;4.5;3;Por habitaciones;1 -   23 personas;7 dormitorios;15 camas;66€ pers./noche (aprox);41.888697373266;2.666184760791;C/ San Jaume, 6;Sant Hilari Sacalm;Girona;https://media.er2.co/es/house1949
https://www.escapadarural.com/casa-rural/house1950;house1950;Espot;;;0;Por habitaciones;3 personas;2 camas;;25€ pers./noche (aprox);42.575800000000;2.667770000000;C/ Samaria 12;Espot;Lleida;https://media.er2.co/es/house1950
https://www.escapadarural.com/casa-rural/house1951;house1951;Navès;stars-l-5;5.0;4;Alquiler íntegro;6 -   8 personas;6 camas;;29€ pers./noche (aprox);41.990700000000;2.667771800000;C/ Sagrera, 21;Navès;Lleida;https://media.er2.co/es/house1951
